Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
469269794,-35.6510076,0.01649869599,93.08396179,-626.9160382,-56.52540801,0.001491865254,-45.07369982,-79605.0737,-56.65100925,0.001470447549,-43.8033334,-79603.80333,-33.91212728,0.02015550278,101.6666056,-258.3333944,
469757575,-35.69125383,0.01642242582,93.58823258,-626.4117674,-56.4715852,0.001501138418,-126.4331483,-79686.43315,-56.53008853,0.001491061558,-125.2156952,-79685.2157,-33.82848635,0.02035052804,101.774863,-258.225137,
470245356,-35.67441966,0.01645428506,94.24366083,-625.7563392,-56.51162147,0.001494235074,152.6812699,-79767.31873,-56.53609254,0.001490031237,154.4757775,-79765.52422,-33.76138417,0.02050835336,102.1277548,-257.8722452,
470733137,-35.6430261,0.01651386366,94.67277679,-625.3272232,-56.76179537,0.001451811498,72.66506461,-79847.33494,-56.8456609,0.001437861168,74.27553904,-79845.72446,-33.68347878,0.02069312404,102.726377,-257.273623,
471220918,-35.64886381,0.01650276857,94.99621229,-625.0037877,-57.39900248,0.001349117812,-8.973688946,-79928.97369,-57.59463382,0.001319071415,-7.493844185,-79927.49384,-33.54815794,0.02101803462,103.1410008,-256.8589992,
471708699,-35.70080612,0.01640437521,95.57376397,-624.426236,-58.25810152,0.001222066739,-96.78665885,-80016.78666,-58.33484049,0.001211317455,-96.12924153,-80016.12924,-33.39083095,0.02140220169,103.1680925,-256.8319075,
472196480,-35.71704639,0.0163737321,96.55349446,-623.4465055,-57.94831738,0.001266438577,170.9318841,-80109.06812,-57.93670998,0.001268132115,172.7140621,-80107.28594,-33.26212472,0.02172169764,102.6824094,-257.3175906,
472684261,-35.66915921,0.01646425332,97.6767347,-622.3232653,-56.69989515,0.001462194825,86.37050038,-80193.6295,-56.81543612,0.00144287329,88.7363842,-80191.26362,-33.21015441,0.02185205472,101.9460802,-258.0539198,
473172043,-35.55101006,0.01668973715,98.50702593,-621.4929741,-55.96780289,0.001590779023,10.10730719,-80269.89269,-56.08318317,0.001569787409,11.75598748,-80268.24401,-33.23390484,0.02179238476,101.2880528,-258.7119472,
473659824,-35.41392774,0.01695522717,99.17783315,-620.8221669,-56.25985,0.001538181204,-64.78136112,-80344.78136,-56.33364434,0.001525168346,-63.58349508,-80343.5835,-33.29938679,0.02162871214,100.9214842,-259.0785158,
474147605,-35.26795298,0.01724258403,99.48262982,-620.5173702,-57.41242462,0.001347034656,-144.4158982,-80424.4159,-57.39651552,0.001349504149,-143.1698139,-80423.16981,-33.37566085,0.02143961378,100.9003332,-259.0996668,
